"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.5","","","","1"
"2015-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.5","","","","1"
"2015-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.4","","","","1"
"2015-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2015-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.3","","","","1"
"2016-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","68.2","","","","1"
